movie_title,channel,title,link,description,postdate
왕과 사는 남자,blog,“단종 죽인 범인이 오징어게임 456번?”…미국 반응 난리난... ,https://blog.naver.com/yeji0__0/224223785991,"https://www.instagram.com/yeji_o_/ 최근 영화, ‘<b>왕과 사는 남자</b>’ 관련 이슈가 온라인에서 빠르게 퍼지면서... 이번 이슈는 ‘<b>왕과 사는 남자</b>’가 북미에서 개봉 후 예상보다 높은 흥행 성적과 평가를 기록하며... ",20260321
왕과 사는 남자,blog,&quot;아바타·마블도 꺾었다&quot; 1400만 돌파한 '<b>왕과 사는 남자</b>... ,https://blog.naver.com/mustard_mag/224224479801,"장항준 감독은 자신의 첫 사극 도전작인 '<b>왕과 사는 남자</b>'를 통해 특유의 위트와 묵직한 서사를 절묘하게 조화시켰습니다. 유해진은 유배된 어린 왕 단종을 지키는 촌장 '엄흥도' 역을 맡아, 특유의 소탈함 속에... ",20260321
왕과 사는 남자,blog,"왕사남 1400만 돌파, 박지훈 유해진이 어벤져스 제친 이유",https://blog.naver.com/ll0l0l0l0l0/224224328603,"#왕사남, #<b>왕과사는남자</b>, #박지훈, #유해진, #왕사남1400만, #영화흥행순위, #어벤져스엔드게임, #한국영화기록, #장항준감독, #유지태, #단종영화, #사극추천, #영화리뷰, #박스오피스, #주말영화, #천만영화 &quot; &quot; &quot; &quot;",20260321
왕과 사는 남자,blog,2026/03/13(+2833 &amp; +1573) - [영월] 영월유치원,https://blog.naver.com/ssam_atelier/224224480189,"&lt;<b>왕과 사는 남자</b>&gt;에 음식 협찬을 했던 박가네 대표님께서 손님으로 온 아이가 &lt;1457, 영월&gt;을 너무... 그나저나...올해 정순왕후 선발대회는 &lt;<b>왕과 사는 남자</b>&gt;에서 단종 역을 맡은 박지훈 배우의 공식적인 아내가... ",20260321
왕과 사는 남자,blog,"박지훈 왕사남 미공개 영상, 1400만 관객이 다시 눈물 흘린... ",https://blog.naver.com/true_cheat/224224345326,"<b>왕과 사는 남자</b>는 이제 단순한 영화를 넘어 하나의 문화적 현상이 된 것 같아요. 미공개 영상을 통해... #박지훈, #<b>왕과사는남자</b>, #왕사남미공개영상, #단종, #이홍위, #박지훈연기, #1400만관객, #영화비하인드... ",20260321
왕과 사는 남자,blog,조기퇴근,https://blog.naver.com/uoosagi8/224224479323,"오늘의 영화 <b>왕과 사는 남자</b> 화려하거나 자극적인 영화는 아니었지만 조용히, 그리고 깊게 감정을... 즐기며 #철원 #철원여행 #철원작은영화관 #뚜루영화관 #혼영 #혼자영화 #<b>왕과사는남자</b> #영화추천 #일상기록... ",20260321
왕과 사는 남자,blog,[일간지] 오늘 광화문은 ‘세계의 중심’이 된다 / 오늘 밤 8시... ,https://blog.naver.com/kangyeou/224224479026,"드립니다 ‘<b>왕과 사는 남자</b>’ 역대 흥행 5위… 1400만 돌파하며 ‘아바타’ 제쳐 ‘30대의 반격’... [세상 사는 이야기] 사법 3법, 어찌 운영할 것인가 천궁 II가 기여한 원유 2400만 배럴… K 방산의 힘 [사설]... ",20260321
왕과 사는 남자,blog,2026.02.16.~03.20. 일상,https://blog.naver.com/audentia37/224224476959,보배랑 쇼핑하고 두 끼 저녁을 먹었음다 정작 떡볶이 사진은 없는 3월 2일 <b>왕과 사는 남자</b> 오빠랑 오랜만에 영화 보러 간 날 닭갈비 먹다가 또 싸우고 ㅎ 아무튼 <b>왕과 사는 남자</b> 잘 보고 왔다 유해진 배우 여전히... ,20260321
왕과 사는 남자,blog,"<b>왕과사는</b> 남다 단종의 역사에서 시작된 깨달음, 기업을... ",https://blog.naver.com/0615dk/224224475605,"조선의 비운의 왕, 단종. 그의 삶은 짧았지만 그 안에는 깊은 인간의 이야기가 담겨 있습니다.... #<b>왕과 사는 남자</b>, 그리고 나의 이야기 “나약한 자는 자신이 아끼는 모든 것을 잃는다.” 이 한 문장이... ",20260321
왕과 사는 남자,blog,영화 제목의 숨은 뜻과 의미-<b>왕과 사는 남자</b>-장항준,https://blog.naver.com/go_do1004/224224474618,코드(<b>남자</b>)**로 끌어내는 역할을 합니다.  9. 환경적 의미 — 삶의 장소와 관계 영월 청령포는  권력 밖의 자연적 환경이자 관계적 생존 공간입니다. 이는 제목이 암시하는 “<b>왕과</b> 함께 <b>사는</b> 공간적 현실” 과... ,20260321
왕과 사는 남자,blog,고씨굴 임시 휴장(4/20까지) 및 여행 참고사항,https://blog.naver.com/bluemay18/224224472037,최근 영화 &lt;<b>왕과 사는 남자</b>&gt; 촬영지로 영월이 주목받으면서 많은 분들이 발걸음을 해주시는데요. 제가... 많은 분이 '<b>왕과 사는 남자</b>' 인기로 영월을 찾는 지금 공사를 진행하는 점에 대해 아쉬움을 표하고... ,20260321
왕과 사는 남자,blog,"사진첩, 나의 일상을 들여다보는 따뜻한 시선",https://blog.naver.com/sabujak_helen/224224471798,"연초부터 눈물 파티, &lt;<b>왕과 사는 남자</b>&gt; 오랜만에 한국 영화를 보러 영화관에 갔습니다. 혼자 조용히 관람하다가 연초부터 제대로 눈물 파티를 벌였네요. 깊은 여운이 남는 영화라, 혹시 아직 안 보셨다면 추천해... ",20260321
왕과 사는 남자,blog,나두 단종앓이중…,https://blog.naver.com/haimchanddo012/224224470644,지후니만의 메이이모가 되고시픈 요즘이네요 암튼 지후니 내맘속에 제대로 저장 왕사남이후 우리지후니앓이중인 이 백성메이 그 지후니안에 있습니까? #<b>왕과사는남자</b># #박지훈# #단종지훈앓이# #이홍위앓이#,20260321
왕과 사는 남자,blog,"<b>왕과 사는 남자</b> 1410만 돌파, 역대 흥행 5위 등극의 의미 분석",https://blog.naver.com/mantomanblog/224224468966,영화 '<b>왕과 사는 남자</b>'가 누적 관객 수 1410만 명을 돌파하며 한국 영화계에 새로운 이정표를... 영화는 권력의 핵심부가 아닌 폐위되어 유배지로 쫓겨난 어린 왕 단종의 내면과 그를 둘러싼 인간적인 관계에... ,20260321
왕과 사는 남자,blog,[3월 20일] 국내 박스오피스 - '왕이 <b>사는 남자</b>' 1400만 돌파... ,https://blog.naver.com/bryan__jo/224224468253,"2026년 3월 20일(금) 국내 일일 박스오피스 1위 &lt;<b>왕과 사는 남자</b>(2026)&gt;(출처-구글 이미지) [3월 20일] 국내 박스오피스 - '왕이 사는 남자' 1400만 돌파, 역대 흥행 5위 등극 2026년 3월 20일(금) 일일... ",20260321
왕과 사는 남자,blog,"91즈의 재회, 큐브 퇴사자들이 뭉치면 생기는 일 (feat.... ",https://blog.naver.com/jamsal/224224467931,"특히 여자는 40kg대 초반, 남자는 60kg대를 유지해야 했다는 말에 당시 얼마나 힘들게 준비했는지 새삼... 특히 진운 님이 영화 &lt;<b>왕과 사는 남자</b>&gt; 홍보를 깨알같이 하는 모습도 재미있었고요! # 금강산도 식후경... ",20260321
왕과 사는 남자,blog,"3.21일. BTS 광화문 공연, 아리랑이 기대되는 또 하나의... ",https://blog.naver.com/quando_quando_/224224466230,"라이브 이벤트의 끝판왕과 방탄소년단이 만난 것. 우려되는 문제 두 가지. 26만이라는... 수많은... 해외 아미들..... &quot; 저 앉아있는 사람이 영화, <b>왕과 사는 남자</b>... 단종의 할아버지래... &quot;",20260321
