rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,aud_per_show
1,1,10,OLD,20242837,왕과 사는 남자,2026-02-04,1076238210,50.8,1052527210,4439.0,1365519680,117783,115173,4412.8,147538,1658,6932,20260204,16.99
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,831148510,45.5,-245089700,-22.8,2196668190,91731,-26052,-22.1,239269,1612,6723,20260205,13.64
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1203723060,53.2,372574550,44.8,3400391250,126625,34894,38.0,365894,1653,7152,20260206,17.7
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,3145705860,60.3,1941982800,161.3,6546097110,327112,200487,158.3,693006,1717,7714,20260207,42.4
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2941919760,58.1,-203786100,-6.5,9488016870,308083,-19029,-5.8,1001089,1724,7292,20260208,42.25
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,908223980,57.7,-2033695780,-69.1,10396240850,98379,-209704,-68.1,1099468,1530,6494,20260209,15.15
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,878997090,55.8,-29226890,-3.2,11275237940,95582,-2797,-2.8,1195050,1536,6557,20260210,14.58
2,2,-1,OLD,20242837,왕과 사는 남자,2026-02-04,811327260,30.9,-67669830,-7.7,12086565200,86924,-8658,-9.1,1281974,1150,4203,20260211,20.68
1,1,1,OLD,20242837,왕과 사는 남자,2026-02-04,775585340,35.9,-35741920,-4.4,12862150540,83916,-3008,-3.5,1365890,1206,4331,20260212,19.38
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1295622220,44.2,520036880,67.1,14157772760,133573,49657,59.2,1499463,1420,5369,20260213,24.88
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,3489757500,53.3,2194135280,169.3,17647530260,357886,224313,167.9,1857349,1729,6851,20260214,52.24
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,4549655530,59.2,1059898030,30.4,22197185790,465257,107371,30.0,2322606,1836,7248,20260215,64.19
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,5301151370,64.6,751495840,16.5,27498337160,537175,71918,15.5,2859781,1899,7804,20260216,68.83
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,6574680470,67.2,1273529100,24.0,34073017630,661441,124266,23.1,3521222,2010,8341,20260217,79.3
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,6353627930,65.0,-221052540,-3.4,40426645560,653635,-7806,-1.2,4174857,2017,8045,20260218,81.25
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2231556760,65.8,-4122071170,-64.9,42658202320,239783,-413852,-63.3,4414640,1607,6521,20260219,36.77
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2586379530,69.9,354822770,15.9,45244581850,264715,24932,10.4,4679355,1771,7277,20260220,36.38
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,5691833080,74.3,3105453550,120.1,50936414930,581160,316445,119.5,5260515,2106,9006,20260221,64.53
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,5554161750,75.1,-137671330,-2.4,56490576680,568289,-12871,-2.2,5828804,2142,8689,20260222,65.4
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1842041690,73.0,-3712120060,-66.8,58332618370,195474,-372815,-65.6,6024278,1756,7273,20260223,26.88
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1827099870,74.4,-14941820,-0.8,60159718240,194638,-836,-0.4,6218916,1778,7331,20260224,26.55
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2417920910,73.2,590821040,32.3,62577639150,309574,114936,59.1,6528490,1937,7497,20260225,41.29
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1934801520,73.2,-483119390,-20.0,64512440670,204929,-104645,-33.8,6733419,1803,7335,20260226,27.94
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2758081920,76.9,823280400,42.6,67270522590,278059,73130,35.7,7011478,1932,8039,20260227,34.59
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,6472569500,82.6,3714487580,134.7,73743092090,655719,377660,135.8,7667197,2165,9758,20260228,67.2
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,8012533100,83.5,1539963600,23.8,81755625190,817185,161466,24.6,8484382,2170,9709,20260301,84.17
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,7031374220,83.4,-981158880,-12.2,88786999410,728928,-88257,-10.8,9213310,2150,9322,20260302,78.19
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1820225790,83.4,-5211148430,-74.1,90607225200,194476,-534452,-73.3,9407786,1800,7489,20260303,25.97
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1768419810,74.0,-51805980,-2.8,92375645010,189639,-4837,-2.5,9597425,1633,6464,20260304,29.34
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1676059780,77.2,-92360030,-5.2,94051704790,180530,-9109,-4.8,9777955,1697,6654,20260305,27.13
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2659757720,80.4,983697940,58.7,96711462510,271745,91215,50.5,10049700,1881,7684,20260306,35.37
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,7435215890,80.4,4775458170,179.5,104146678400,754523,482778,177.7,10804223,2171,9535,20260307,79.13
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,6865622080,80.2,-569593810,-7.7,111012300480,699461,-55062,-7.3,11503684,2187,9211,20260308,75.94
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1903685490,83.9,-4961936590,-72.3,112915985970,203140,-496321,-71.0,11706824,1816,7356,20260309,27.62
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1649376360,80.7,-254309130,-13.4,114565362330,177180,-25960,-12.8,11884004,1860,7464,20260310,23.74
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1589244240,73.8,-60132120,-3.6,116154606570,171424,-5756,-3.2,12055428,1934,7926,20260311,21.63
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1475756440,76.4,-113487800,-7.1,117630363010,158648,-12776,-7.5,12214076,1955,7839,20260312,20.24
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,2180385660,75.6,704629220,47.7,119810748670,221373,62725,39.5,12435449,2036,8880,20260313,24.93
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,5491568500,77.2,3311182840,151.9,125302317170,554183,332810,150.3,12989632,2262,10416,20260314,53.2
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,4706615640,75.7,-784952860,-14.3,130008932810,478141,-76042,-13.7,13467773,2223,9908,20260315,48.26
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1264452430,79.8,-3442163210,-73.1,131273385240,133939,-344202,-72.0,13601712,1946,8102,20260316,16.53
1,1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1132758240,77.9,-131694190,-10.4,132406143480,120447,-13492,-10.1,13722159,1969,8121,20260317,14.83
1,1,7,OLD,20183782,기생충,2019-05-30,4579290500,75.7,4519237500,7525.4,4677727500,568092,562494,10048.1,577954,1783,8262,20190530,68.76
1,1,0,OLD,20183782,기생충,2019-05-30,5893815975,72.7,1314525475,28.7,10571543475,667826,99734,17.6,1245780,1826,8806,20190531,75.84
1,1,0,OLD,20183782,기생충,2019-05-30,9909224473,68.8,4015408498,68.1,20480767948,1126677,458851,68.7,2372457,1927,9907,20190601,113.73
1,1,0,OLD,20183782,기생충,2019-05-30,8706733270,67.7,-1202491203,-12.1,29187501218,994607,-132070,-11.7,3367064,1948,9820,20190602,101.28
1,1,0,OLD,20183782,기생충,2019-05-30,3071603430,72.6,-5635129840,-64.7,32259104648,382497,-612110,-61.5,3749561,1804,9196,20190603,41.59
1,1,0,OLD,20183782,기생충,2019-05-30,2782574190,70.0,-289029240,-9.4,35041678838,348723,-33774,-8.8,4098284,1814,9193,20190604,37.93
1,1,0,OLD,20183782,기생충,2019-05-30,3435665860,59.6,653091670,23.5,38477344698,425745,77022,22.1,4524029,1700,8068,20190605,52.77
1,1,0,OLD,20183782,기생충,2019-05-30,7210821290,53.5,3775155430,109.9,45688165988,831644,405899,95.3,5355673,1574,7975,20190606,104.28
1,1,0,OLD,20183782,기생충,2019-05-30,4519273774,53.1,-2691547516,-37.3,50207439762,519720,-311924,-37.5,5875393,1561,7877,20190607,65.98
1,1,0,OLD,20183782,기생충,2019-05-30,5635004423,50.5,1115730649,24.7,55842444185,637591,117871,22.7,6512984,1579,7958,20190608,80.12
1,1,0,OLD,20183782,기생충,2019-05-30,4500961560,47.2,-1134042863,-20.1,60343405745,509134,-128457,-20.1,7022118,1577,7736,20190609,65.81
1,1,0,OLD,20183782,기생충,2019-05-30,1560319780,52.4,-2940641780,-65.3,61903725525,194662,-314472,-61.8,7216780,1460,7287,20190610,26.71
1,1,0,OLD,20183782,기생충,2019-05-30,1260270800,47.9,-300048980,-19.2,63163996325,157774,-36888,-18.9,7374554,1460,7251,20190611,21.76
1,1,0,OLD,20183782,기생충,2019-05-30,1172366590,36.1,-87904210,-7.0,64336362915,146216,-11558,-7.3,7520770,1217,5604,20190612,26.09
1,1,0,OLD,20183782,기생충,2019-05-30,1093021770,36.6,-79344820,-6.8,65429384685,136195,-10021,-6.9,7656965,1170,5211,20190613,26.14
1,1,0,OLD,20183782,기생충,2019-05-30,1485706220,34.7,392684450,35.9,66915090905,168192,31997,23.5,7825157,1194,5396,20190614,31.17
2,2,-1,OLD,20183782,기생충,2019-05-30,2490643460,28.6,1004937240,67.6,69405734365,279036,110844,65.9,8104193,1206,5408,20190615,51.6
2,2,0,OLD,20183782,기생충,2019-05-30,2175614880,27.6,-315028580,-12.6,71581349245,241608,-37428,-13.4,8345801,1194,5297,20190616,45.61
2,2,0,OLD,20183782,기생충,2019-05-30,848174300,33.1,-1327440580,-61.0,72429523545,105206,-136402,-56.5,8451007,1135,5240,20190617,20.08
2,2,0,OLD,20183782,기생충,2019-05-30,804249670,31.6,-43924630,-5.2,73233773215,100700,-4506,-4.3,8551707,1157,5214,20190618,19.31
3,3,-1,OLD,20183782,기생충,2019-05-30,742575980,22.8,-61673690,-7.7,73976349195,92169,-8531,-8.5,8643876,969,4159,20190619,22.16
4,4,-1,OLD,20183782,기생충,2019-05-30,641665230,15.8,-100910750,-13.6,74618014425,79310,-12859,-14.0,8723186,747,2780,20190620,28.53
4,4,0,OLD,20183782,기생충,2019-05-30,838396830,16.0,196731600,30.7,75456411255,94020,14710,18.5,8817206,783,2872,20190621,32.74
4,4,0,OLD,20183782,기생충,2019-05-30,1304752130,11.7,466355300,55.6,76761163385,145862,51842,55.1,8963068,751,2451,20190622,59.51
4,4,0,OLD,20183782,기생충,2019-05-30,1193849940,11.5,-110902190,-8.5,77955013325,133264,-12598,-8.6,9096332,769,2385,20190623,55.88
3,3,1,OLD,20183782,기생충,2019-05-30,564327520,17.1,-629522420,-52.7,78519340845,70449,-62815,-47.1,9166781,710,2682,20190624,26.27
3,3,0,OLD,20183782,기생충,2019-05-30,519563910,17.1,-44763610,-7.9,79038904755,65725,-4724,-6.7,9232506,733,2691,20190625,24.42
5,5,-2,OLD,20183782,기생충,2019-05-30,444699590,9.0,-74864320,-14.4,79483604345,71362,5637,8.6,9303868,604,1441,20190626,49.52
4,4,1,OLD,20183782,기생충,2019-05-30,365221300,10.0,-79478290,-17.9,79848825645,46497,-24865,-34.8,9350365,569,1510,20190627,30.79
4,4,0,OLD,20183782,기생충,2019-05-30,440823590,9.4,75602290,20.7,80289649235,50343,3846,8.3,9400708,614,1658,20190628,30.36
4,4,0,OLD,20183782,기생충,2019-05-30,809213330,7.7,368389740,83.6,81098862565,90791,40448,80.3,9491499,642,1587,20190629,57.21
4,4,0,OLD,20183782,기생충,2019-05-30,763208620,8.3,-46004710,-5.7,81862071185,86482,-4309,-4.7,9577981,650,1598,20190630,54.12
5,5,-1,OLD,20183782,기생충,2019-05-30,324857040,9.9,-438351580,-57.4,82186928225,40512,-45970,-53.2,9618493,625,1774,20190701,22.84
4,4,1,OLD,20183782,기생충,2019-05-30,183117730,2.6,-141739310,-43.6,82370045955,23038,-17474,-43.1,9641531,446,912,20190702,25.26
4,4,0,OLD,20183782,기생충,2019-05-30,178241150,3.1,-4876580,-2.7,82548287105,22294,-744,-3.2,9663825,464,972,20190703,22.94
4,4,0,OLD,20183782,기생충,2019-05-30,176004620,3.4,-2236530,-1.3,82724291725,22078,-216,-1.0,9685903,464,962,20190704,22.95
